url_count,has_ip_url,has_suspicious_tld,urgency_score,credential_request,sender_subdomains,brand_spoof,sender_has_numbers,subject_caps_ratio,subject_length,exclamation_count,body_length,html_tags,greeting_generic,label,sender,subject
0,0,0,0,0,1,0,0,0.03,32,1,170,0,0,0,support@slack.com,New comment on your pull request
2,1,1,3,3,1,1,1,0.86,44,0,255,0,0,1,support@micros0ft-helpdesk.tk,CONFIRM YOUR IDENTITY OR LOSE ACCOUNT ACCESS
0,0,0,0,2,1,0,0,0.03,29,0,148,0,0,0,noreply@netflix.com,Password changed successfully
1,0,1,3,1,1,1,0,0.86,44,2,181,0,1,1,it-support@company-helpdesk.ru,CONFIRM YOUR IDENTITY OR LOSE ACCOUNT ACCESS
0,0,0,0,0,1,0,0,0.16,32,0,185,0,0,0,team@notion.so,Invoice #INV-2024-0891 from Zoho
0,0,0,0,0,1,0,0,0.03,34,1,170,0,0,0,orders@amazon.in,Scheduled maintenance notification
2,1,1,4,1,1,0,0,0.04,48,0,233,0,0,1,admin@secure-bank-alert.ga,Your package could not be delivered - Click here
0,0,0,0,1,1,0,0,0.03,36,0,148,0,0,0,digest@medium.com,Your monthly bank statement is ready
1,1,0,4,3,1,0,0,0.03,39,1,255,0,1,1,alerts@apple-id-verify.ru,Microsoft account verification required
0,0,0,0,0,1,0,0,0.05,20,1,185,0,0,0,noreply@google.com,Welcome to the team!
1,1,0,4,4,1,0,0,0.87,45,1,255,0,1,1,billing@account-update-now.tk,FINAL NOTICE: UPDATE YOUR BILLING INFORMATION
0,0,0,0,1,1,0,0,0.03,29,1,189,0,0,0,billing@zoho.com,Password changed successfully
0,0,0,0,1,1,0,0,0.03,32,0,148,0,0,0,orders@amazon.in,Your flight booking confirmation
2,1,0,4,3,1,0,0,0.84,32,1,292,0,1,1,billing@account-update-now.tk,YOU HAVE A PENDING WIRE TRANSFER
1,0,1,5,0,1,1,1,0.81,31,2,181,0,1,1,security@paypa1-support.com,APPLE ID SUSPENDED - VERIFY NOW
1,0,1,3,2,1,1,1,0.87,45,0,197,0,0,1,support@micros0ft-helpdesk.tk,FINAL NOTICE: UPDATE YOUR BILLING INFORMATION
2,1,1,5,0,1,1,0,0.88,48,2,217,0,1,1,admin@secure-bank-alert.ga,ACTION REQUIRED: VERIFY YOUR ACCOUNT IMMEDIATELY
1,1,0,3,3,1,1,1,0.41,39,0,182,0,1,1,service@netfl1x-billing.ml,URGENT: Your account has been SUSPENDED
0,0,0,0,1,1,0,0,0.03,29,1,189,0,0,0,support@slack.com,Password changed successfully
0,0,0,0,1,1,0,0,0.04,24,0,207,0,1,0,newsletter@github.com,Thanks for your purchase
1,1,0,6,3,1,1,1,0.8,40,1,255,0,1,1,service@netfl1x-billing.ml,YOUR PAYPAL ACCOUNT IS LIMITED - ACT NOW
0,0,0,0,1,1,0,0,0.04,24,0,148,0,0,0,support@slack.com,Thanks for your purchase
0,0,0,0,1,1,0,0,0.03,34,0,148,0,0,0,newsletter@github.com,Scheduled maintenance notification
0,0,0,0,1,1,0,0,0.16,32,0,148,0,0,0,notifications@asana.com,Invoice #INV-2024-0891 from Zoho
0,0,0,0,1,1,0,0,0.03,32,0,207,0,1,0,noreply@netflix.com,Your flight booking confirmation
1,0,1,3,0,1,1,0,0.08,38,2,181,0,1,1,it-support@company-helpdesk.ru,Security Alert: Unusual login detected
0,0,0,0,0,1,0,0,0.03,32,1,170,0,0,0,no-reply@linkedin.com,New comment on your pull request
2,1,0,1,3,1,0,0,0.86,44,0,217,0,1,1,irs-refund@taxnotification.xyz,CONFIRM YOUR IDENTITY OR LOSE ACCOUNT ACCESS
2,1,0,2,3,1,0,0,0.81,48,0,217,0,1,1,irs-refund@taxnotification.xyz,YOUR PACKAGE COULD NOT BE DELIVERED - CLICK HERE
1,0,1,5,1,1,1,1,0.8,40,0,197,0,0,1,support@micros0ft-helpdesk.tk,YOUR PAYPAL ACCOUNT IS LIMITED - ACT NOW
2,1,1,3,0,1,1,1,0.89,27,2,216,0,1,1,noreply@amaz0n-verify.xyz,IRS TAX REFUND NOTIFICATION
1,0,1,3,2,1,0,0,0.86,44,0,197,0,0,1,irs-refund@taxnotification.xyz,CONFIRM YOUR IDENTITY OR LOSE ACCOUNT ACCESS
2,1,1,3,2,1,1,0,0.22,27,0,254,0,0,1,it-support@company-helpdesk.ru,IRS Tax Refund Notification
1,1,0,6,3,1,0,0,0.8,40,1,255,0,1,1,billing@account-update-now.tk,YOUR PAYPAL ACCOUNT IS LIMITED - ACT NOW
0,0,0,0,1,1,0,0,0.07,29,0,148,0,0,0,orders@amazon.in,Weekly newsletter from Medium
1,1,0,5,3,1,0,0,0.06,48,1,255,0,1,1,admin@secure-bank-alert.ga,Action Required: Verify your account immediately
0,0,0,0,0,1,0,0,0.16,32,1,189,0,0,0,digest@medium.com,Invoice #INV-2024-0891 from Zoho
0,0,0,0,0,1,0,0,0.03,32,1,170,0,0,0,orders@amazon.in,New comment on your pull request
0,0,0,0,0,1,0,0,0.07,29,1,170,0,0,0,digest@medium.com,Weekly newsletter from Medium
1,0,1,3,2,1,1,0,0.03,39,0,220,0,0,1,verify@paypal-secure-login.xyz,Microsoft account verification required
1,0,1,3,1,1,1,0,0.07,45,2,181,0,1,1,it-support@company-helpdesk.ru,Final Notice: Update your billing information
0,0,0,0,1,1,0,0,0.03,29,0,207,0,1,0,digest@medium.com,Password changed successfully
1,1,0,4,4,1,0,0,0.02,44,1,255,0,1,1,admin@secure-bank-alert.ga,Confirm your identity or lose account access
1,0,1,4,2,1,1,0,0.04,48,0,220,0,0,1,irs-refund@taxnotification.xyz,Your package could not be delivered - Click here
0,0,0,0,0,1,0,0,0.03,32,1,170,0,0,0,support@slack.com,New comment on your pull request
2,1,0,4,3,1,0,0,0.92,39,1,292,0,1,1,irs-refund@taxnotification.xyz,MICROSOFT ACCOUNT VERIFICATION REQUIRED
2,1,0,3,3,1,0,0,0.8,40,0,218,0,1,1,it-support@company-helpdesk.ru,YOUR PAYPAL ACCOUNT IS LIMITED - ACT NOW
1,0,1,5,1,1,1,1,0.81,31,0,197,0,0,1,support@micros0ft-helpdesk.tk,APPLE ID SUSPENDED - VERIFY NOW
2,1,1,3,0,1,1,0,0.81,48,2,214,0,1,1,it-support@company-helpdesk.ru,YOUR PACKAGE COULD NOT BE DELIVERED - CLICK HERE
0,0,0,0,0,1,0,0,0.16,32,0,185,0,0,0,team@notion.so,Invoice #INV-2024-0891 from Zoho
0,0,0,0,0,1,0,0,0.16,32,0,185,0,0,0,team@notion.so,Invoice #INV-2024-0891 from Zoho
2,1,0,3,3,1,0,0,0.12,40,0,217,0,1,1,alerts@apple-id-verify.ru,Your PayPal account is limited - Act Now
0,0,0,0,0,1,0,0,0.03,32,1,189,0,0,0,billing@zoho.com,New comment on your pull request
1,0,1,3,2,1,0,0,0.87,45,0,197,0,0,1,billing@account-update-now.tk,FINAL NOTICE: UPDATE YOUR BILLING INFORMATION
1,0,1,4,1,1,1,1,0.87,38,2,181,0,1,1,security@paypa1-support.com,YOUR BANK ACCOUNT HAS BEEN COMPROMISED
0,0,0,0,0,1,0,0,0.07,29,0,185,0,0,0,team@notion.so,Weekly newsletter from Medium
0,0,0,0,1,1,0,0,0.16,32,0,148,0,0,0,no-reply@linkedin.com,Invoice #INV-2024-0891 from Zoho
0,0,0,0,1,1,0,0,0.03,36,0,207,0,1,0,noreply@netflix.com,Your monthly bank statement is ready
0,0,0,0,0,1,0,0,0.07,29,0,185,0,0,0,digest@medium.com,Your Amazon order has shipped
1,1,0,6,3,1,1,1,0.8,40,1,255,0,1,1,service@netfl1x-billing.ml,YOUR PAYPAL ACCOUNT IS LIMITED - ACT NOW
0,0,0,0,1,1,0,0,0.03,36,0,207,0,1,0,notifications@asana.com,Your monthly bank statement is ready
2,1,0,6,3,1,0,0,0.12,40,1,290,0,1,1,billing@account-update-now.tk,Your PayPal account is limited - Act Now
0,0,0,0,1,1,0,0,0.03,32,0,207,0,1,0,digest@medium.com,Your flight booking confirmation
0,0,0,0,0,1,0,0,0.03,32,0,185,0,0,0,notifications@asana.com,New comment on your pull request
0,0,0,0,1,1,0,0,0.03,29,0,207,0,1,0,newsletter@github.com,Password changed successfully
0,0,0,0,0,1,0,0,0.16,32,1,189,0,0,0,billing@zoho.com,Invoice #INV-2024-0891 from Zoho
2,1,0,1,3,1,1,1,0.89,27,0,217,0,1,1,support@micros0ft-helpdesk.tk,IRS TAX REFUND NOTIFICATION
0,0,0,0,0,1,0,0,0.03,36,1,189,0,0,0,noreply@google.com,Your monthly bank statement is ready
2,1,0,1,3,1,1,1,0.84,32,0,217,0,1,1,service@netfl1x-billing.ml,YOU HAVE A PENDING WIRE TRANSFER
0,0,0,0,1,1,0,0,0.03,32,0,207,0,1,0,noreply@google.com,Your flight booking confirmation
0,0,0,0,1,1,0,0,0.07,29,0,207,0,1,0,support@slack.com,Your Amazon order has shipped
2,1,0,1,3,1,0,0,0.89,27,0,218,0,1,1,it-support@company-helpdesk.ru,IRS TAX REFUND NOTIFICATION
0,0,0,0,0,1,0,0,0.07,29,1,189,0,0,0,notifications@asana.com,Your account summary for June
0,0,0,0,0,1,0,0,0.04,24,1,189,0,0,0,orders@amazon.in,Thanks for your purchase
1,0,1,3,1,1,0,0,0.84,32,0,197,0,0,1,alerts@apple-id-verify.ru,YOU HAVE A PENDING WIRE TRANSFER
2,1,0,1,3,1,0,0,0.22,27,0,219,0,1,1,alerts@apple-id-verify.ru,IRS Tax Refund Notification
0,0,0,0,0,1,0,0,0.05,38,1,189,0,0,0,notifications@asana.com,Meeting reminder: Team standup at 10am
1,0,1,5,2,1,1,0,0.85,39,0,220,0,0,1,admin@secure-bank-alert.ga,URGENT: YOUR ACCOUNT HAS BEEN SUSPENDED
1,0,1,3,2,1,1,0,0.88,41,0,220,0,0,1,irs-refund@taxnotification.xyz,IMMEDIATE ACTION REQUIRED ON YOUR ACCOUNT
0,0,0,0,0,1,0,0,0.07,29,0,185,0,0,0,orders@amazon.in,Your account summary for June
1,1,0,4,3,1,1,1,0.71,45,2,255,0,1,1,noreply@amaz0n-verify.xyz,CONGRATULATIONS! YOU'VE WON A $1000 GIFT CARD
2,1,1,4,2,1,1,0,0.88,48,0,256,0,0,1,irs-refund@taxnotification.xyz,IMPORTANT: YOUR NETFLIX SUBSCRIPTION WILL EXPIRE
0,0,0,0,0,1,0,0,0.03,36,0,185,0,0,0,no-reply@linkedin.com,Your monthly bank statement is ready
0,0,0,0,1,1,0,0,0.12,26,0,207,0,1,0,noreply@google.com,Your GitHub monthly digest
0,0,0,0,1,1,0,0,0.05,38,0,148,0,0,0,digest@medium.com,Meeting reminder: Team standup at 10am
0,0,0,0,0,1,0,0,0.12,26,0,185,0,0,0,billing@zoho.com,Your GitHub monthly digest
0,0,0,0,1,1,0,0,0.07,29,0,148,0,0,0,support@slack.com,Weekly newsletter from Medium
1,0,1,3,3,1,1,0,0.86,44,0,220,0,0,1,alerts@apple-id-verify.ru,CONFIRM YOUR IDENTITY OR LOSE ACCOUNT ACCESS
2,1,1,3,2,1,1,1,0.87,38,0,256,0,0,1,service@netfl1x-billing.ml,SECURITY ALERT: UNUSUAL LOGIN DETECTED
0,0,0,0,1,1,0,0,0.05,20,1,148,0,0,0,orders@amazon.in,Welcome to the team!
0,0,0,0,1,1,0,0,0.03,29,0,207,0,1,0,orders@amazon.in,Password changed successfully
0,0,0,0,1,1,0,0,0.07,29,0,207,0,1,0,support@slack.com,Your Amazon order has shipped
1,0,1,3,1,1,1,1,0.88,48,0,197,0,0,1,noreply@amaz0n-verify.xyz,IMPORTANT: YOUR NETFLIX SUBSCRIPTION WILL EXPIRE
1,0,1,3,1,1,0,0,0.02,41,0,197,0,0,1,it-support@company-helpdesk.ru,Immediate action required on your account
0,0,0,0,0,1,0,0,0.03,32,1,189,0,0,0,newsletter@github.com,Your flight booking confirmation
0,0,0,0,0,1,0,0,0.07,29,0,185,0,0,0,team@notion.so,Weekly newsletter from Medium
1,0,1,3,0,1,1,0,0.92,39,2,181,0,1,1,billing@account-update-now.tk,MICROSOFT ACCOUNT VERIFICATION REQUIRED
0,0,0,0,0,1,0,0,0.07,29,1,189,0,0,0,noreply@google.com,Weekly newsletter from Medium
0,0,0,0,1,1,0,0,0.05,38,0,148,0,0,0,orders@amazon.in,Meeting reminder: Team standup at 10am
